YEAR,MONTH,PROV_ID,PROV_T,MinRain,MaxRain,AvgRain
2018,2,17,สิงห์บุรี,34.22999954,87.27999878,60.75499916
2018,2,18,ชัยนาท,24.61000061,55.72000122,40.16500092
2018,2,19,สระบุรี,15.82999992,96.87000275,56.35000134
2018,2,20,ชลบุรี,13.75,142.1799927,77.96499635
2018,2,21,ระยอง,16.72999954,188.4400024,102.585001
2018,2,22,จันทบุรี,8.199999809,47.56999969,27.88499975
2018,2,23,ตราด,11.15999985,80.69999695,45.9299984
2018,2,24,ฉะเชิงเทรา,19.30999947,67.08999634,43.19999791
2018,2,25,ปราจีนบุรี,25.52000046,77,51.26000023
2018,2,26,นครนายก,43.86999893,74.38999939,59.12999916
2018,2,27,สระแก้ว,12,58.18999863,35.09499932
2018,2,30,นครราชสีมา,0.949999988,78.48999786,39.71999892
2018,2,31,บุรีรัมย์,0.125,34.84000015,17.48250008
2018,2,32,สุรินทร์,0.54,3.660000086,2.100000043
2018,2,33,ศรีสะเกษ,1.179999948,8.5,4.839999974
2018,2,34,อุบลราชธานี,0.42,28.84000015,14.63000008
2018,2,35,ยโสธร,3.269999981,46.06000137,24.66500068
2018,2,36,ชัยภูมิ,3.099999905,37.36999893,20.23499942
2018,2,37,อำนาจเจริญ,3.299999952,44.59000015,23.94500005
2018,2,38,บึงกาฬ,24.36000061,42.65999985,33.51000023
2018,2,39,หนองบัวลำภู,18.84000015,62.08000183,40.46000099
2018,2,40,ขอนแก่น,3.599999905,35.50999832,19.55499911
2018,2,41,อุดรธานี,7.03000021,59.09000015,33.06000018
2018,2,42,เลย,16.71999931,39.52000046,28.11999989
2018,2,43,หนองคาย,5.199999809,28.31999969,16.75999975
2018,2,44,มหาสารคาม,0.469999999,14.17000008,7.32000004
2018,2,45,ร้อยเอ็ด,0.419999987,39.63000107,20.02500053
2018,2,46,กาฬสินธุ์,7.949999809,50.47000122,29.21000051
2018,2,47,สกลนคร,27.44000053,67,47.22000027
2018,2,48,นครพนม,16.61000061,54.88999939,35.75
2018,2,49,มุกดาหาร,35.79000092,54.29999924,45.04500008
2018,2,50,เชียงใหม่,0.451,12.61999989,6.535499945
2018,2,51,ลำพูน,0.400000006,17.52000046,8.960000233
2018,2,52,ลำปาง,2.99000001,30.95000076,16.97000039
2018,2,53,อุตรดิตถ์,12.31000042,40.79000092,26.55000067
2018,2,54,แพร่,15.81000042,52.29000092,34.05000067
2018,2,55,น่าน,10.5,40.97999954,25.73999977
2018,2,56,พะเยา,2.200000048,18.54999924,10.37499964
2018,2,57,เชียงราย,3.789999962,20.5,12.14499998
2018,2,58,แม่ฮ่องสอน,0.25,6.980000019,3.61500001
2018,2,60,นครสวรรค์,24.45000076,165.8899994,95.17000008
2018,2,61,อุทัยธานี,13.85000038,39.54000092,26.69500065
2018,2,62,กำแพงเพชร,19.72999954,43.90000153,31.81500054
2018,2,63,ตาก,1.600000024,26.09000015,13.84500009
2018,2,64,สุโขทัย,12.47999954,43.86000061,28.17000008
2018,2,65,พิษณุโลก,20.67000008,39.20000076,29.93500042
2018,2,66,พิจิตร,26,53.00999832,39.50499916
2018,2,67,เพชรบูรณ์,14.81000042,60.31000137,37.5600009
2018,2,70,ราชบุรี,8.699999809,29.07999992,18.88999986
2018,2,71,กาญจนบุรี,5.800000191,20.70999908,13.25499964
2018,2,72,สุพรรณบุรี,5.309999943,48.52000046,26.9150002
2018,2,73,นครปฐม,10.89999962,64.20999908,37.55499935
2018,2,74,สมุทรสาคร,10.59000015,68.68000031,39.63500023
2018,2,75,สมุทรสงคราม,9.109999657,18.25,13.67999983
2018,2,76,เพชรบุรี,11.46000004,76.75,44.10500002
2018,2,77,ประจวบคีรีขันธ์,44.02000046,81.91000366,62.96500206
2018,2,80,นครศรีธรรมราช,7.940000057,33.29999924,20.61999965
2018,2,81,กระบี่,10.80000019,42.99000168,26.89500094
2018,2,82,พังงา,22.04999924,117.8700027,69.96000097
2018,2,83,ภูเก็ต,14.22000027,39.38999939,26.80499983
2018,2,84,สุราษฎร์ธานี,2,80.08999634,41.04499817
2018,2,85,ระนอง,3.619999886,96.01999664,49.81999826
2018,2,86,ชุมพร,9.659999847,111.1900024,60.42500112
2018,2,90,สงขลา,8.300000191,99.76000214,54.03000117
2018,2,91,สตูล,0.419999987,24.06999969,12.24499984
2018,2,92,ตรัง,4,21.87999916,12.93999958
2018,2,93,พัทลุง,10.44999981,51.77999878,31.1149993
2018,2,94,ปัตตานี,46.86999893,63.20000076,55.03499985
2018,2,95,ยะลา,36.04000092,58.13999939,47.09000016
2018,2,96,นราธิวาส,43.79999924,54.20000076,49
2018,3,10,กรุงเทพมหานคร,17.54999924,106.3399963,61.94499777
2018,3,11,สมุทรปราการ,10.48999977,87.06999969,48.77999973
2018,3,12,นนทบุรี,73.86000061,103.2399979,88.54999926
2018,3,13,ปทุมธานี,57.97000122,115.8799973,86.92499926
2018,3,14,พระนครศรีอยุธยา,33.02000046,115.6699982,74.34499933
2018,3,15,อ่างทอง,31.12000084,54.68999863,42.90499974
2018,3,16,ลพบุรี,23.89999962,37.72000122,30.81000042
2018,3,17,สิงห์บุรี,24.95000076,38.45000076,31.70000076
2018,3,18,ชัยนาท,10.89000034,27.89999962,19.39499998
2018,3,19,สระบุรี,23.11000061,73.13999939,48.125
2018,3,20,ชลบุรี,15.52999973,92.30999756,53.91999865
2018,3,21,ระยอง,60.88000107,159.6000061,110.2400036
2018,3,22,จันทบุรี,87.58999634,202.1000061,144.8450012
2018,3,23,ตราด,180.8099976,253,216.9049988
2018,3,24,ฉะเชิงเทรา,20.37000084,109.2300034,64.80000212
2018,3,25,ปราจีนบุรี,18.39999962,122.5400009,70.47000026
2018,3,26,นครนายก,21.84000015,78.01999664,49.9299984
2018,3,27,สระแก้ว,13.52999973,109.9100037,61.72000172
2018,3,30,นครราชสีมา,1.309999943,61.41999817,31.36499906
2018,3,31,บุรีรัมย์,32.27999878,70.30000305,51.29000092
2018,3,32,สุรินทร์,24.54000092,64.23000336,44.38500214
2018,3,33,ศรีสะเกษ,51.09000015,115.6100006,83.35000038
2018,3,34,อุบลราชธานี,72.41000366,139.9199982,106.1650009
2018,3,35,ยโสธร,48.58000183,87.33999634,67.95999909
2018,3,36,ชัยภูมิ,7.599999905,65.58000183,36.59000087
2018,3,37,อำนาจเจริญ,68.80000305,101.7300034,85.26500323
2018,3,38,บึงกาฬ,12.52000046,40.00999832,26.26499939
2018,3,39,หนองบัวลำภู,21.05999947,64.01999664,42.53999806
2018,3,40,ขอนแก่น,18.06999969,62.20999908,40.13999939
2018,3,41,อุดรธานี,1,54.45000076,27.72500038
2018,3,42,เลย,34.77999878,103.3600006,69.06999969
2018,3,43,หนองคาย,1.200000048,38.43000031,19.81500018
2018,3,44,มหาสารคาม,36.31999969,59.88999939,48.10499954
2018,3,45,ร้อยเอ็ด,31.84000015,70.43000031,51.13500023
2018,3,46,กาฬสินธุ์,23.11000061,49.65000153,36.38000107
2018,3,47,สกลนคร,12.11999989,49.61000061,30.86500025
2018,3,48,นครพนม,34.34999847,85.98000336,60.16500092
2018,3,49,มุกดาหาร,32.65999985,69.93000031,51.29500008
2018,3,50,เชียงใหม่,2.25,26.07999992,14.16499996
2018,3,51,ลำพูน,1,39.38999939,20.1949997
2018,3,52,ลำปาง,1.799999952,44.79000092,23.29500044
2018,3,53,อุตรดิตถ์,3.609999895,49.13000107,26.37000048
2018,3,54,แพร่,11.19999981,39.50999832,25.35499907
2018,3,55,น่าน,22.38999939,65.26000214,43.82500077
2018,3,56,พะเยา,25.54000092,47.99000168,36.7650013
2018,3,57,เชียงราย,13.93000031,35.59000015,24.76000023
2018,3,58,แม่ฮ่องสอน,0.524,15.39999962,7.96199981
2018,3,60,นครสวรรค์,10.64999962,32.06999969,21.35999966
2018,3,61,อุทัยธานี,9.609999657,27.34000015,18.4749999
2018,3,62,กำแพงเพชร,10.31999969,47.79999924,29.05999947
2018,3,63,ตาก,0.01,63.40000153,31.70500077
2018,3,64,สุโขทัย,9.010000229,55.90000153,32.45500088
2018,3,65,พิษณุโลก,0.409999996,63.41999817,31.91499908
2018,3,66,พิจิตร,1.399999976,31.39999962,16.3999998
2018,3,67,เพชรบูรณ์,23.28000069,69.59999847,46.43999958
2018,3,70,ราชบุรี,23.79000092,56.49000168,40.1400013
2018,3,71,กาญจนบุรี,0.481,50.68000031,25.58050016
2018,3,72,สุพรรณบุรี,13.82999992,63.95000076,38.89000034
2018,3,73,นครปฐม,42.63000107,85.37000275,64.00000191
2018,3,74,สมุทรสาคร,14.22000027,73.01999664,43.61999846
2018,3,75,สมุทรสงคราม,11.11999989,42.11000061,26.61500025
2018,3,76,เพชรบุรี,16.04999924,66.09999847,41.07499886
2018,3,77,ประจวบคีรีขันธ์,13.30000019,63.36999893,38.33499956
2018,3,80,นครศรีธรรมราช,40.86000061,117.3000031,79.08000186
2018,3,81,กระบี่,9.619999886,114.9899979,62.30499889
2018,3,82,พังงา,63.31999969,139.5899963,101.454998
2018,3,83,ภูเก็ต,34.16999817,132.5500031,83.36000064
2018,3,84,สุราษฎร์ธานี,43.02000046,139.1699982,91.09499933
2018,3,85,ระนอง,65.5,110.5,88
2018,3,86,ชุมพร,58.20999908,103.6600037,80.93500139
2018,3,90,สงขลา,1.450000048,45.93999863,23.69499934
2018,3,91,สตูล,15.31000042,38.09999847,26.70499945
2018,3,92,ตรัง,30.76000023,70.66999817,50.7149992
2018,3,93,พัทลุง,14.64000034,56,35.32000017
2018,3,94,ปัตตานี,36.36999893,75.26000214,55.81500054
2018,3,95,ยะลา,31.86000061,63.02000046,47.44000054
2018,3,96,นราธิวาส,46.15999985,87.98999786,67.07499886
2018,4,10,กรุงเทพมหานคร,149.2400055,270.2600098,209.7500077
2018,4,11,สมุทรปราการ,135.3999939,322.3800049,228.8899994
2018,4,12,นนทบุรี,124.2600021,223.7100067,173.9850044
2018,4,13,ปทุมธานี,143.1499939,190.2100067,166.6800003
2018,4,14,พระนครศรีอยุธยา,87.91000366,186.2899933,137.0999985
2018,4,15,อ่างทอง,79.51999664,120.4100037,99.96500017
2018,4,16,ลพบุรี,93.19000244,296.2799988,194.7350006
2018,4,17,สิงห์บุรี,70.05000305,110.9100037,90.48000338
2018,4,18,ชัยนาท,56.61999893,124.4400024,90.53000067
2018,4,19,สระบุรี,104.3700027,214.1100006,159.2400017
